african_iso3,northern_iso3,year,level,not_yet_country
AGO,FRA,2007,1.0,False
AGO,FRA,2008,1.0,False
AGO,FRA,2009,1.0,False
AGO,FRA,2010,1.0,False
AGO,FRA,2011,1.0,False
AGO,FRA,2012,1.0,False
AGO,FRA,2013,1.0,False
AGO,FRA,2014,1.0,False
AGO,FRA,2015,1.0,False
AGO,FRA,2016,1.0,False
AGO,FRA,2017,1.0,False
AGO,GBR,1950,0.0,False
AGO,GBR,1951,0.0,False
AGO,GBR,1952,0.0,False
AGO,GBR,1953,0.0,False
AGO,GBR,1954,0.0,False
AGO,GBR,1955,0.0,False
AGO,GBR,1956,0.0,False
AGO,GBR,1957,0.0,False
AGO,GBR,1958,0.0,False
AGO,GBR,1959,0.0,False
AGO,GBR,1960,0.0,False
AGO,GBR,1961,0.0,False
AGO,GBR,1962,0.0,False
AGO,GBR,1963,0.0,False
AGO,GBR,1964,0.0,False
AGO,GBR,1965,0.0,False
AGO,GBR,1966,0.0,False
AGO,GBR,1967,0.0,False
AGO,GBR,1968,0.0,False
AGO,GBR,1969,0.0,False
AGO,GBR,1970,0.0,False
AGO,GBR,1971,0.0,False
AGO,GBR,1972,1.0,False
AGO,GBR,1973,1.0,False
AGO,GBR,1974,1.0,False
AGO,GBR,1975,1.0,False
AGO,GBR,1976,1.0,False
AGO,GBR,1977,1.0,False
AGO,GBR,1978,1.0,False
AGO,GBR,1979,1.0,False
AGO,GBR,1980,1.0,False
AGO,GBR,1981,1.0,False
AGO,GBR,1982,1.0,False
AGO,GBR,1983,1.0,False
AGO,GBR,1984,1.0,False
AGO,GBR,1985,1.0,False
AGO,GBR,1986,1.0,False
AGO,GBR,1987,1.0,False
AGO,GBR,1988,1.0,False
AGO,GBR,1989,1.0,False
AGO,GBR,1990,1.0,False
AGO,GBR,1991,1.0,False
AGO,GBR,1992,1.0,False
AGO,GBR,1993,1.0,False
AGO,GBR,1994,1.0,False
AGO,GBR,1995,1.0,False
AGO,GBR,1996,1.0,False
AGO,GBR,1997,1.0,False
AGO,GBR,1998,1.0,False
AGO,GBR,1999,1.0,False
AGO,GBR,2000,1.0,False
AGO,GBR,2001,1.0,False
AGO,GBR,2002,1.0,False
AGO,GBR,2003,1.0,False
AGO,GBR,2004,1.0,False
AGO,GBR,2005,1.0,False
AGO,GBR,2006,1.0,False
AGO,GBR,2007,1.0,False
AGO,GBR,2008,1.0,False
AGO,GBR,2009,1.0,False
AGO,GBR,2010,1.0,False
AGO,GBR,2011,1.0,False
AGO,GBR,2012,1.0,False
AGO,GBR,2013,1.0,False
AGO,GBR,2014,1.0,False
AGO,GBR,2015,1.0,False
AGO,GBR,2016,1.0,False
AGO,GBR,2017,1.0,False
AGO,GRC,1950,0.0,False
AGO,GRC,1951,0.0,False
AGO,GRC,1952,0.0,False
AGO,GRC,1953,0.0,False
AGO,GRC,1954,0.0,False
AGO,GRC,1955,0.0,False
AGO,GRC,1956,0.0,False
AGO,GRC,1957,0.0,False
AGO,GRC,1958,0.0,False
AGO,GRC,1959,0.0,False
AGO,GRC,1960,0.0,False
AGO,GRC,1961,0.0,False
AGO,GRC,1962,0.0,False
AGO,GRC,1963,0.0,False
AGO,GRC,1964,0.0,False
AGO,GRC,1965,0.0,False
AGO,GRC,1966,0.0,False
AGO,GRC,1967,0.0,False
AGO,GRC,1968,0.0,False
AGO,GRC,1969,0.0,False
