iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,contribution_productivity_0,contribution_productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
BFA,1990,1993,Services,0.0789646201268101,0.0786701890391071,2425.634196306913,2119.4854603473877,191.53929873227287,166.7403281871534,-0.1262139253211799,-0.0032580457534485,False,393.72631564960216,388.9280960750296,-0.0121866875132695,-0.0121866875132695,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3101300.736,0.352,8811.033,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1993,1996,Agriculture,0.8869728892816383,0.8800839897866215,172.51093949562346,193.26432035697928,153.01252643712303,170.0888341431701,0.1203018250438681,-0.008701107745313,False,388.9280960750296,416.2218285908549,0.0701768084930537,0.0701768084930539,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2332017.92,0.244,9552.473,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1993,1996,Manufacturing,0.0343569216792546,0.0356367987037767,2013.4295263281565,2208.4337556585087,69.17524145075309,78.70151171708582,0.0548480383406585,0.082864097772587,False,388.9280960750296,416.2218285908549,0.0701768084930537,0.0701768084930539,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2332017.92,0.244,9552.473,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1993,1996,Services,0.0786701890391071,0.0842792115096017,2119.4854603473877,1986.628393341532,166.7403281871534,167.431482730599,-0.0778837999324547,0.0820288951890134,False,388.9280960750296,416.2218285908549,0.0701768084930537,0.0701768084930539,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2332017.92,0.244,9552.473,0.0,1.0,0.0,True,never_reciprocal,0
BFA,1996,1999,Agriculture,0.8800839897866215,0.860886592004474,193.26432035697928,226.36759884142188,170.0888341431701,194.8768307068276,0.1712849967510682,-0.0255494069427887,False,416.2218285908549,504.5927751694925,0.2123169437744843,0.2123169437744841,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2586550.528,0.249,10372.562,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1996,1999,Manufacturing,0.0356367987037767,0.0400601345443823,2208.4337556585087,2718.5401802280926,78.70151171708582,108.90508123617282,0.1865075095128566,0.1972661799641893,False,416.2218285908549,504.5927751694925,0.2123169437744843,0.2123169437744841,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2586550.528,0.249,10372.562,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1996,1999,Services,0.0842792115096017,0.0990532734511436,1986.628393341532,2027.3017313870869,167.431482730599,200.81086322649205,-0.012833840304008,0.2121952743158013,False,416.2218285908549,504.5927751694925,0.2123169437744843,0.2123169437744841,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,2586550.528,0.249,10372.562,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1999,2002,Agriculture,0.860886592004474,0.8384991161482117,226.36759884142188,261.3770754681069,194.8768307068276,219.16444676141208,0.154657631241697,-0.0300270326913608,False,504.5927751694925,547.7163972617798,0.085462226600058,0.0854622266000579,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3014665.472,0.267,11281.942,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1999,2002,Manufacturing,0.0400601345443823,0.0452263591120412,2718.5401802280926,2109.0411639643185,108.90508123617282,95.3842546977776,-0.2428544210779466,0.1187020272233954,False,504.5927751694925,547.7163972617798,0.085462226600058,0.0854622266000579,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3014665.472,0.267,11281.942,1.0,1.0,0.0,True,never_reciprocal,0
BFA,1999,2002,Services,0.0990532734511436,0.116274524739747,2027.3017313870869,2005.3206541892316,200.81086322649205,233.1676958025901,-0.0311767652381028,0.1923076525626752,False,504.5927751694925,547.7163972617798,0.085462226600058,0.0854622266000579,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3014665.472,0.267,11281.942,1.0,1.0,0.0,True,never_reciprocal,0
