iso3,year0,year1,within,structural_change,Y0,Y1,actual_change,decomposed_change
KEN,1982,1983,-3.358253007022066,4.583559041128812,179.42845843167288,180.6537644657796,1.2253060341067226,1.2253060341067457
KEN,1983,1984,-3.923441503591233,0.4298087113135858,180.6537644657796,177.16013167350195,-3.4936327922776513,-3.4936327922776473
KEN,1984,1985,-3.291937061218934,4.527439250846064,177.16013167350195,178.3956338631291,1.235502189627141,1.2355021896271303
KEN,1985,1986,-0.6667004014736432,4.603428852696449,178.3956338631291,182.3323623143519,3.9367284512228196,3.9367284512228053
KEN,1986,1987,0.05652326433881505,3.568302288029223,182.3323623143519,185.95718786671995,3.624825552368037,3.624825552368038
KEN,1987,1988,1.0996960033251326,3.462217530317668,185.95718786671995,190.51910140036273,4.56191353364278,4.561913533642801
KEN,1988,1989,-3.197314236616406,6.412079277842086,190.51910140036273,193.73386644158842,3.2147650412256894,3.2147650412256796
KEN,1989,1990,-1.8082038976190016,4.517890946116724,193.73386644158842,196.44355349008615,2.7096870484977273,2.7096870484977225
KEN,1990,1991,-6.418379470203755,4.2245706543083985,196.44355349008615,194.24974467419077,-2.1938088158953803,-2.1938088158953564
KEN,1991,1992,-10.26120003147588,5.0423735493378805,194.24974467419077,189.03091819205278,-5.218826482137985,-5.218826482138
KEN,1992,1993,-10.219555319436964,5.831861284380775,189.03091819205278,184.6432241569966,-4.387694035056171,-4.387694035056189
KEN,1993,1994,-10.17403467425138,8.267946629107586,184.6432241569966,182.7371361118528,-1.9060880451438038,-1.906088045143795
KEN,1994,1995,-10.688217658748615,9.71283810806947,182.7371361118528,181.76175656117363,-0.9753795506791789,-0.9753795506791452
KEN,1995,1996,-6.662496402598364,7.378665985820722,181.76175656117363,182.477926144396,0.7161695832223813,0.7161695832223574
KEN,1996,1997,-10.203674701039853,5.787518431948886,182.477926144396,178.06176987530506,-4.416156269090948,-4.416156269090967
KEN,1997,1998,-3.717157024236172,5.1997302963115,178.06176987530506,179.5443431473804,1.4825732720753422,1.4825732720753284
KEN,1998,1999,-5.790856365541158,4.621857760113995,179.5443431473804,178.3753445419532,-1.1689986054271913,-1.1689986054271628
KEN,1999,2000,-6.31038166870131,1.3911284838567102,178.3753445419532,173.45609135710862,-4.919253184844592,-4.9192531848445995
KEN,2000,2001,0.5799978809696071,1.7329599573552046,173.45609135710862,175.7690491954334,2.3129578383247917,2.3129578383248117
KEN,2001,2002,-4.863012567181358,1.8510648407316448,175.7690491954334,172.7571014689837,-3.011947726449705,-3.0119477264497134
KEN,2002,2003,0.42118024414975,1.5904948637349459,172.7571014689837,174.7687765768684,2.0116751078846846,2.0116751078846957
KEN,2003,2004,-2.448297078866578,3.4143786242666887,174.7687765768684,175.73485812226852,0.9660815454001295,0.9660815454001108
KEN,2004,2005,3.2598439220293693,1.6790392866980914,175.73485812226852,180.673741330996,4.938883208727475,4.938883208727461
