iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
GHA,2010,2015,Services,0.3664559566989143,0.4659803250600899,6.394492155884823,7.34930046719484,0.1629273248727495,0.2985286574756349,False,4.455726611116632,6.060391997642801,0.3601355124712264,0.3601355124712265,Ghana,True,2.0,2_reciprocal_pta,1.0,0.0,0.0,0.6089445492239156,0.3763033230185896,32174839.808,1.326,24262.901,1.0,1.0,1.0,True,always_reciprocal,1
KEN,1970,1975,Agriculture,0.8735112438724127,0.861878563463105,70.28130588978593,68.19217757590772,-0.0297252347182385,-0.0129212947548359,False,163.3715426561671,170.13653138552473,0.0414086114348279,0.0414086114348276,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1603447.296,0.142,11252.466,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1970,1975,Manufacturing,0.0151667908950381,0.0147607460977567,1809.2706325926083,2137.947191964676,0.2057766595874885,-0.0557497348145493,False,163.3715426561671,170.13653138552473,0.0414086114348279,0.0414086114348276,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1603447.296,0.142,11252.466,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1970,1975,Services,0.111321965232549,0.1233606904391382,669.5821417807508,646.927811195378,0.0012750932023808,0.0693757871137273,False,163.3715426561671,170.13653138552473,0.0414086114348279,0.0414086114348276,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,1603447.296,0.142,11252.466,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1975,1980,Agriculture,0.861878563463105,0.8479923144542036,68.19217757590772,60.66946179011733,-0.1103164036287963,-0.0143342327818254,False,170.13653138552473,173.1511269861845,0.0177186849650104,0.0177186849650107,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3259344.896,0.242,13486.241,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1975,1980,Manufacturing,0.0147607460977567,0.0162834766653694,2137.947191964676,2079.422229078137,0.0131029586123453,0.0598595092213172,False,170.13653138552473,173.1511269861845,0.0177186849650104,0.0177186849650107,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3259344.896,0.242,13486.241,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1975,1980,Services,0.1233606904391382,0.1357242088804269,646.927811195378,647.2217991412997,0.0069771064090398,0.0937454126184908,False,170.13653138552473,173.1511269861845,0.0177186849650104,0.0177186849650107,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3259344.896,0.242,13486.241,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1980,1985,Agriculture,0.8479923144542036,0.8273296770852454,60.66946179011733,61.96847281225,0.0214112831036234,-0.0248882573433657,False,173.1511269861845,178.39563458859146,0.0302886137312028,0.0302886137312027,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,7265315.328,0.447,16267.906,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1980,1985,Manufacturing,0.0162834766653694,0.0170835436699687,2079.422229078137,2003.136243890369,-0.0874845700056657,0.0981296283845948,False,173.1511269861845,178.39563458859146,0.0302886137312028,0.0302886137312027,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,7265315.328,0.447,16267.906,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1980,1985,Services,0.1357242088804269,0.155586779244786,647.2217991412997,597.1369303579161,-0.0122230292406893,0.0698588769232851,False,173.1511269861845,178.39563458859146,0.0302886137312028,0.0302886137312027,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,7265315.328,0.447,16267.906,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1985,1990,Agriculture,0.8273296770852454,0.7983510822211832,61.96847281225,68.21262049547232,0.1007632978489018,-0.0385560611846702,False,178.39563458859146,196.4435488534224,0.1011679142623205,0.1011679142623204,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,6135034.368,0.312,19660.019,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1985,1990,Manufacturing,0.0170835436699687,0.0233515540471626,2003.136243890369,1634.025479477181,-0.1128454407538341,0.227874467238204,False,178.39563458859146,196.4435488534224,0.1011679142623205,0.1011679142623204,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,6135034.368,0.312,19660.019,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1985,1990,Services,0.155586779244786,0.178297363731654,597.1369303579161,582.3355860392757,0.0077122235306997,0.1098497168032689,False,178.39563458859146,196.4435488534224,0.1011679142623205,0.1011679142623204,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,6135034.368,0.312,19660.019,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1990,1995,Agriculture,0.7983510822211832,0.7399030718141665,68.21262049547232,61.596013182113445,-0.0969997526161315,-0.066109471173747,False,196.4435488534224,181.76176011688705,-0.0747379530772487,-0.0747379530772487,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,8572359.168,0.366,23446.44,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1990,1995,Manufacturing,0.0233515540471626,0.0341820168113701,1634.025479477181,1011.0637708366996,-0.4046346396753609,0.3103706251575872,False,196.4435488534224,181.76176011688705,-0.0747379530772487,-0.0747379530772487,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,8572359.168,0.366,23446.44,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1990,1995,Services,0.178297363731654,0.2259149113744633,582.3355860392757,449.84404865451546,-0.2677003914423521,0.2464884407111351,False,196.4435488534224,181.76176011688705,-0.0747379530772487,-0.0747379530772487,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,8572359.168,0.366,23446.44,0.0,1.0,0.0,True,never_reciprocal,0
KEN,1995,2000,Agriculture,0.7399030718141665,0.6824390786338641,61.596013182113445,65.57172560229598,0.0645449634609959,-0.0826770516987556,False,181.76176011688705,173.4560932263023,-0.0456953480492461,-0.045695348049246,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,9046320.128,0.33,27418.077,1.0,1.0,0.0,True,never_reciprocal,0
KEN,1995,2000,Manufacturing,0.0341820168113701,0.0472099336627446,1011.0637708366996,647.4275109973288,-0.3491222197306272,0.233521379471653,False,181.76176011688705,173.4560932263023,-0.0456953480492461,-0.045695348049246,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,9046320.128,0.33,27418.077,1.0,1.0,0.0,True,never_reciprocal,0
