iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change
UGA,2010,2011,Services,0.21836984203608448,0.23607348281857624,8181.735450613929,8109.428919197081,-15.789565843674271,143.56641653661552
UGA,2011,2012,Agriculture,0.6848536938964332,0.6613569410899902,1324.584351949622,1326.362877084062,1.2180295080087888,-31.165220654486788
UGA,2011,2012,Manufacturing,0.07907282328499042,0.07908584181515989,7314.025779302003,7203.095127910391,-8.77159979437779,0.09377371123624516
UGA,2011,2012,Services,0.23607348281857624,0.25955721709484986,8109.428919197081,7386.145186116801,-170.74810993428326,173.45427087674452
UGA,2012,2013,Agriculture,0.6613569410899902,0.7191732232733933,1326.362877084062,1176.292986300978,-99.24976391800921,68.00888722633523
UGA,2012,2013,Manufacturing,0.07908584181515989,0.06875670528093904,7203.095127910391,7938.501004662415,58.160192838749516,-81.99786075420748
UGA,2012,2013,Services,0.25955721709484986,0.21207007144566764,7386.145186116801,9032.81118075275,427.4040430524298,-428.9424201619674
UGA,2013,2014,Agriculture,0.7191732232733933,0.7168466858972307,1176.292986300978,1166.6381314835196,-6.943513059308278,-2.7142272173529274
UGA,2013,2014,Manufacturing,0.06875670528093904,0.06908404621767858,7938.501004662415,8108.890494820869,11.715419957794316,2.654371810493035
UGA,2013,2014,Services,0.21207007144566764,0.21406926788509079,9032.81118075275,9078.283620409153,9.643343526742273,18.14927228999544
UGA,2014,2015,Agriculture,0.7168466858972307,0.7133695155582481,1166.6381314835196,1154.8791137807707,-8.42941286962242,-4.015711399548936
UGA,2014,2015,Manufacturing,0.06908404621767858,0.07020241045398717,8108.890494820869,8301.608517125225,13.313740759853745,9.284222069387676
UGA,2014,2015,Services,0.21406926788509079,0.21642807398776473,9078.283620409153,9063.725086835197,-3.116534623657293,21.379570047785784
UGA,2015,2016,Agriculture,0.7133695155582481,0.7138512922202997,1154.8791137807707,1142.340796899205,-8.944453039718262,0.5503531360554924
UGA,2015,2016,Manufacturing,0.07020241045398717,0.07031282246808306,8301.608517125225,8328.783156119389,1.9077251606071992,0.9195977232349937
UGA,2015,2016,Services,0.21642807398776473,0.21583588531161713,9063.725086835197,9287.985843429016,48.5363236206393,-5.500240040697912
